suburb_id,suburb_name,centroid_lat,centroid_lon,area_sqkm,total_pop,median_hhd_inc_weekly,median_rent_weekly,median_age,median_sale_price_12m,n_sales_12m,price_5yr_cagr,offences_12mo,crime_per_1000,distance_km,commute_minutes_cbd,affordability_raw,commute_raw,growth_raw,lifestyle_raw,affordability_norm,commute_norm,lifestyle_norm,growth_norm
12573,Melonba,-33.69069488349996,150.80464444550003,6.4715,1439,2859,600,31,1285000.0,509,0.13843284521324084,251,174.4266851980542,42.34966465418715,63.52449698128073,-0.06614785992217899,-63.52449698128073,0.13843284521324084,-0.41200841869077126,36.73297020426757,36.66890150087722,50.153418005034254,98.24894111905472
12574,Melrose Park (NSW),-33.81471479349997,151.07390006650007,1.2776,2059,2182,490,37,820800.0,131,0.002900309253867528,74,35.93977659057795,13.89322620665146,20.83983930997719,0.4619883040935672,-20.83983930997719,0.002900309253867528,0.10014429151739745,63.50742183789603,80.80044072686793,60.425276922192104,48.90563005770386
12578,Menai,-34.002491323499946,151.0027513505001,12.9444,10419,2575,560,39,1390000.0,197,0.019347565279151935,282,27.065937230060467,23.70008397688534,35.550125965328014,-0.1366906474820144,-35.550125965328014,0.019347565279151935,0.4167130429475414,33.156724943460496,65.59151958346084,66.77445654666299,54.89358021606699
12579,Menangle,-34.13391527799995,150.71836623950009,34.0936,1252,1476,450,54,1140000.0,104,0.14396121103540094,54,43.13099041533546,53.56389288760911,80.34583933141366,0.05263157894736842,-80.34583933141366,0.14396121103540094,-0.4083780204026505,42.75462628042183,19.277366221966318,50.226230153218545,100.0
12580,Menangle Park,-34.10000516149997,150.75682572350007,8.7197,224,1687,500,39,805000.0,114,0.11505374322237949,64,,48.56491966768763,72.84737950153145,0.4906832298136646,-72.84737950153145,0.11505374322237949,-0.7187402978995029,64.96214308815375,27.030001294390374,44.001529074589726,89.73731478738246
12599,Merrylands,-33.83510097149995,150.9851151810001,6.7259,32472,1470,400,33,690000.0,1107,0.007711471035598105,3156,97.19142645971915,20.91157831904665,31.367367478569975,0.7391304347826086,-31.367367478569975,0.007711471035598105,-0.784049228953138,77.55745112835993,69.91606100657987,42.691677320528605,50.657229042272235
12600,Merrylands West,-33.837710623999925,150.96755526900006,1.7354,7054,1394,400,36,1067500.0,180,0.04200456463302493,445,63.08477459597392,22.449039438894513,33.67355915834177,0.12412177985948478,-33.67355915834177,0.04200456463302493,-0.5989183859890609,46.378901717357785,67.53169636291247,46.404706388301314,63.14231074354785
12613,Middle Cove,-33.79240771649994,151.2123540800001,1.0362,1327,4446,930,45,4400000.0,9,0.05291848906511043,14,10.550113036925396,8.986716096207594,13.480074144311391,-0.7272727272727273,-13.480074144311391,0.05291848906511043,1.7468886568469986,3.216507991052176,88.40967980297323,93.45278113361182,67.11574165694785
12614,Middle Dural,-33.63842529799994,151.01006999850011,7.6599,1040,3067,650,46,4164000.0,18,0.0642463669765676,30,28.846153846153847,31.812777375619312,47.71916606342897,-0.7118155619596542,-47.71916606342897,0.0642463669765676,0.724388285897098,4.00012621920202,53.009985614803945,72.94526580899326,71.2398805546188
12618,Middleton Grange,-33.912530893499934,150.84322049050002,2.5546,7043,2344,520,31,1176000.0,133,0.03713728933664817,133,18.883998296180604,33.85311834547062,50.77967751820593,0.02040816326530612,-50.77967751820593,0.03713728933664817,0.32277440942922886,41.12102429776352,49.84573202377921,64.89040053926922,61.3702825196951
12628,Miller,-33.920595425999934,150.8805462945001,1.2705,3374,825,201,35,1000000.0,48,0.05366330364357852,761,225.54831061055128,30.580837554923523,45.871256332385286,0.2,-45.871256332385286,0.05366330364357852,-2.0861546490606395,50.22563268111254,54.92053392960208,16.576335345330584,67.38690619443865
